item_name	item_price	item_attribute_name	item_attribute	website_category	link
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Fagyasztó leolvasztás	nem automatikus	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Whirlpool W5 821E OX alulfagyasztós hűtőszekrény, inox, A++	99 990 Ft	Fagyasztó fiók	3 db	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w5-821e-ox-alulfagyasztos-hutoszekreny-inox-p641091
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Cikkszám	502559	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Gyártó	CANDY	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Garancia	2 éves	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Kivitel	Szabadon álló	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Típus	fagyasztószekrény	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Energiaosztály	A+	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Energiafogyasztás (kWh)	252 kWh/év	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Egyéb jellemzők	Statikus hűtési rendszer, Állítható hőmérséklet	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Szín	fehér	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Szélesség (cm)	60 cm	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Magasság (cm)	170 cm	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Mélység (cm)	60 cm	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Súly (kg)	53 kg	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Ajtók száma	1 db	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Hűtő űrtartalom	nincs hűtő rész	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Fagyasztó űrtartalom	225 l	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Fagyasztó leolvasztás	manuális	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Candy CCOUS 6172WH fagyasztószekrény	84 990 Ft	Fagyasztó fiók	7 db	edigital_refrigerator	https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Cikkszám	374568	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Gyártó	WHIRLPOOL	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Garancia	2 éves	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Kivitel	Beépíthető	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Típus	alulfagyasztós	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Energiaosztály	A++	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Energiafogyasztás (kWh)	235 kWh/év	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Egyéb jellemzők	Megfordítható ajtónyílás, Automatikus leolvasztás, 6. érzék technológia, 6 darabos tojástartó, Állítható polcmagasság	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Tartozékok	tojástartó, jégkockatartó, zöldségtartó fiók, palack tartó (opcionális)	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Szélesség (cm)	54 cm	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Magasság (cm)	177 cm	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Mélység (cm)	54,5 cm	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Súly (kg)	50,6 kg	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Ajtók száma	2 db	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Hűtő űrtartalom	195 l	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Hűtő polc	5 db	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Ajtórekesz	4 db	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Zöldségtároló fiók	1 db	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Fagyasztó űrtartalom	80 l	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Fagyasztó leolvasztás	manuális	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Fagyasztó polc	nincs	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool ART 6611/A++ beépíthető hűtőszekrény	119 990 Ft	Fagyasztó fiók	3 db	edigital_refrigerator	https://edigital.hu/beepitheto-huto/whirlpool-art-6611-beepitheto-hutoszekreny-p374568
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Cikkszám	653237	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Gyártó	WHIRLPOOL	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Garancia	2 éves	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Kivitel	Szabadon álló	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Típus	alulfagyasztós	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Energiaosztály	A++	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Energiafogyasztás (kWh)	295 kWh/év	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Egyéb jellemzők	NoFrost rendszer, LED kijelző, Vakáció program, EcoMode, Gyorshűtés funkció	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Szín	fekete	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
Whirlpool W4D7 AAA X C alulfagyasztós hűtőszekrény A++	189 990 Ft	Szélesség (cm)	70	edigital_refrigerator	https://edigital.hu/alulfagyasztos-huto/whirlpool-w4d7-aaa-x-c-alulfagyasztos-hutoszekreny-p653237
