"item_name_short"|"colour"|"item_name"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"item_price_edigital"|"link_edigital"|"articleID_edigital"|"item_price_mediamarkt"|"link_mediamarkt"|"articleID_mediamarkt"|"website"|"common_item_id"
"Beko RCNA365 E32DZX"|"grey"|"Beko RCNA-365 E32DZX alulagyasztós hûtõszekrény, inox, A++ - [Újracsomagolt]"|"BEKO"|"Refrigerator"|"A++"|260|NA|60|185|65|NA|2|216|97|127990|"https://edigital.hu/alulfagyasztos-huto/beko-rcna-365-e32dzx-alulagyasztos-hutoszekreny-inox-ujracsomagolt-p630351"|630351|NA|NA|NA|"edigital"|179
"Beko RCNE 520E41"|"grey"|"Beko RCNE 520E41 ZX alulfagyasztós hûtõszekrény, inox, A+++ Neo Frost - [Bontott]"|"BEKO"|"Refrigerator"|"A+++"|211|NA|74|192|71|NA|2|330|124|215990|"https://edigital.hu/alulfagyasztos-huto/beko-rcne-520e41-zx-alulfagyasztos-hutoszekreny-inox-neo-frost-bontott-p685283"|685283|NA|NA|NA|"edigital"|180
"Beko RCSA240M30W"|"white"|"Beko RCSA-240M30W alulfagyasztós hûtõszekrény, A++"|"BEKO"|"Refrigerator"|"A++"|210|24|54|153|60|48|2|142|87|79990|"https://edigital.hu/alulfagyasztos-huto/beko-rcsa-240m30w-alulfagyasztos-hutoszekreny-p549238"|549238|NA|NA|NA|"edigital"|181
"Beko RCSA270K20S"|"grey"|"BEKO RCSA270K20S kombinált hûtõszekrény"|"BEKO"|"Refrigerator"|"A+"|257|12|54|171|60|52|2|175|87|NA|NA|NA|85993|"https://www.mediamarkt.hu/hu/product/_beko-rcsa270k20s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1235266.html"|1235266|"mediamarkt"|117
"Beko RCSA270K20S"|"grey"|"Beko RCSA-270K20S alulfagyasztós hûtõszekrény, A+ ezüst színû"|"BEKO"|"Refrigerator"|"A+"|257|24|54|171|60|52|2|175|87|84990|"https://edigital.hu/alulfagyasztos-huto/beko-rcsa-270k20s-alulfagyasztos-hutoszekreny-ezust-szinu-p503873"|503873|NA|NA|NA|"edigital"|117
"Beko RCSA270K20S"|"grey"|"Beko RCSA-270K20S alulfagyasztós hûtõszekrény, A+ ezüst színû - [Újracsomagolt]"|"BEKO"|"Refrigerator"|"A+"|257|NA|54|171|60|52|2|175|87|67990|"https://edigital.hu/alulfagyasztos-huto/beko-rcsa-270k20s-alulfagyasztos-hutoszekreny-ezust-szinu-ujracsomagolt-p713015"|713015|NA|NA|NA|"edigital"|117
"Beko RCSA330K30PT"|"grey"|"Beko RCSA-330K30PT alulfagyasztós hûtõszekrény, A++ inox-[újracsomagolt]"|"BEKO"|"Refrigerator"|"A++"|229|NA|60|185|60|NA|2|197|95|87990|"https://edigital.hu/alulfagyasztos-huto/beko-rcsa-330k30pt-alulfagyasztos-hutoszekreny-inox-ujracsomagolt-p682798"|682798|NA|NA|NA|"edigital"|182
"Beko RDSA240K20W"|"white"|"Beko RDSA-240K20W felülfagyasztós hûtõszekrény, A+"|"BEKO"|"Refrigerator"|"A+"|226|24|54|146|60|42|2|177|46|63990|"https://edigital.hu/felulfagyasztos-huto/beko-rdsa-240k20w-felulfagyasztos-hutoszekreny-p503861"|503861|NA|NA|NA|"edigital"|183
"Beko RFSA 240"|"white"|"Beko RFSA 240 M23W fagyasztószekrény fagyasztószekrény"|"BEKO"|"Freezer"|"A+"|257|24|60|151|60|51|NA|0|215|89990|"https://edigital.hu/fagyasztoszekreny/beko-rfsa-240-m23w-fagyasztoszekreny-fagyasztoszekreny-p424892"|424892|NA|NA|NA|"edigital"|184
"Beko RSSA 290M23W"|"white"|"Beko RSSA 290M23W egyajtós hûtõszekrény, A+"|"BEKO"|"Refrigerator"|"A+"|136|24|60|151|60|48|1|286|NA|74990|"https://edigital.hu/egyajtos-huto/beko-rssa-290m23w-egyajtos-hutoszekreny-p510926"|510926|NA|NA|NA|"edigital"|185
"Beko WSA2400"|"white"|"Beko WSA-2400 üvegajtós hûtõszekrény"|"BEKO"|"Refrigerator"|"B"|730|24|54|134|60|53|1|240|0|89990|"https://edigital.hu/egyajtos-huto/beko-wsa-2400-uvegajtos-hutoszekreny-p506350"|506350|NA|NA|NA|"edigital"|186
"Beko RCSA225K20W alulfagyasztós hûtõszekrény"|"white"|"Beko RCSA225K20W alulfagyasztós hûtõszekrény A+"|"BEKO"|"Refrigerator"|"A+"|249|24|54|144|59|42|2|142|64|69990|"https://edigital.hu/alulfagyasztos-huto/beko-rcsa225k20w-alulfagyasztos-hutoszekreny-p598345"|598345|NA|NA|NA|"edigital"|187
"Beko RDSA280K20W felülfagyasztós hûtõszekrény"|"white"|"Beko RDSA280K20W felülfagyasztós hûtõszekrény A+ ( 204/46l )"|"BEKO"|"Refrigerator"|"A+"|235|24|54|160|59|42|2|204|46|74990|"https://edigital.hu/felulfagyasztos-huto/beko-rdsa280k20w-felulfagyasztos-hutoszekreny-20446l-p598344"|598344|NA|NA|NA|"edigital"|188
"Bosch GSN36VI3P"|"grey"|"Bosch GSN36VI3P fagyasztószekrény A++"|"BOSCH"|"Refrigerator"|"A++"|237|24|60|186|65|75|1|0|NA|215990|"https://edigital.hu/fagyasztoszekreny/bosch-gsn36vi3p-fagyasztoszekreny-p626749"|626749|NA|NA|NA|"edigital"|189
"Bosch KGE49KL4P"|"grey"|"Bosch KGE49KL4P alulfagyasztós hûtõszekrény, A+++"|"BOSCH"|"Refrigerator"|"A+++"|190|24|70|201|65|88|2|302|111|232690|"https://edigital.hu/alulfagyasztos-huto/bosch-kge49kl4p-alulfagyasztos-hutoszekreny-p585604"|585604|NA|NA|NA|"edigital"|190
"Bosch KGE49VW4A"|"white"|"Bosch KGE49VW4A alulfagyasztós hûtõszekrény A+++"|"BOSCH"|"Refrigerator"|"A+++"|190|24|70|201|65|85|2|302|111|244990|"https://edigital.hu/alulfagyasztos-huto/bosch-kge49vw4a-alulfagyasztos-hutoszekreny-p626740"|626740|NA|NA|NA|"edigital"|191
"Bosch KGN39VI45"|"grey"|"Bosch KGN39VI45 alulfagyasztós hûtõszekrény,A+++-[újracsomagolt]"|"BOSCH"|"Refrigerator"|"A+++"|182|NA|60|203|66|83|2|279|87|207990|"https://edigital.hu/alulfagyasztos-huto/bosch-kgn39vi45-alulfagyasztos-hutoszekreny-ujracsomagolt-p652963"|652963|NA|NA|NA|"edigital"|192
"Bosch KGN39XI38"|"grey"|"Bosch KGN39XI38 alulfagyasztós hûtõszekrény, A++"|"BOSCH"|"Refrigerator"|"A++"|273|24|60|203|66|82|2|279|87|209990|"https://edigital.hu/alulfagyasztos-huto/bosch-kgn39xi38-alulfagyasztos-hutoszekreny-p523731"|523731|NA|NA|NA|"edigital"|193
"Bosch KGN46XL30"|"grey"|"Bosch KGN46XL30 alulfagyasztós hûtõszekrény A++"|"BOSCH"|"Refrigerator"|"A++"|288|24|70|186|67|79|2|280|105|229990|"https://edigital.hu/alulfagyasztos-huto/bosch-kgn46xl30-alulfagyasztos-hutoszekreny-p626742"|626742|NA|NA|NA|"edigital"|194
"Bosch KGN49AI31"|"grey"|"Bosch KGN49AI31 alufagyasztós hûtõszekrény"|"BOSCH"|"Refrigerator"|"A++"|303|24|70|203|67|93|2|330|105|269990|"https://edigital.hu/alulfagyasztos-huto/bosch-kgn49ai31-alufagyasztos-hutoszekreny-p523733"|523733|NA|NA|NA|"edigital"|195
"Bosch KGV36VL32S"|"grey"|"Bosch KGV36VL32S alulfagyasztós hûtõszekrény"|"BOSCH"|"Refrigerator"|"A++"|226|24|60|186|65|74|2|213|94|134990|"https://edigital.hu/alulfagyasztos-huto/bosch-kgv36vl32s-alulfagyasztos-hutoszekreny-p477233"|477233|NA|NA|NA|"edigital"|196
"Bosch KIV34X20"|NA|"Bosch KIV34X20 beépíthetõ hûtõszekrény"|"BOSCH"|"Refrigerator"|"A+"|279|24|56|178|55|NA|2|203|72|147990|"https://edigital.hu/beepitheto-huto/bosch-kiv34x20-beepitheto-hutoszekreny-p67882"|67882|NA|NA|NA|"edigital"|197
"CANDY CCOUS 6172WH"|"white"|"CANDY CCOUS 6172WH Fagyasztószekrény"|"CANDY"|"Freezer"|"A+"|252|24|60|170|60|53|NA|NA|225|NA|NA|NA|103996|"https://www.mediamarkt.hu/hu/product/_candy-ccous-6172wh-fagyaszt%C3%B3szekr%C3%A9ny-1226230.html"|1226230|"mediamarkt"|198
"CANDY CCOUS 6172WH"|"white"|"Candy CCOUS 6172WH fagyasztószekrény"|"CANDY"|"Freezer"|"A+"|252|24|60|170|60|53|1|0|225|84990|"https://edigital.hu/fagyasztoszekreny/candy-ccous-6172wh-fagyasztoszekreny-p502559"|502559|NA|NA|NA|"edigital"|198
"CANDY CCTOS 482"|"white"|"CANDY CCTOS 482 WH hûtõszekrény"|"CANDY"|"Refrigerator"|"A+"|112|24|48|84|50|24|1|87|NA|NA|NA|NA|42799|"https://www.mediamarkt.hu/hu/product/_candy-cctos-482-wh-h%C5%B1t%C5%91szekr%C3%A9ny-1153176.html"|1153176|"mediamarkt"|199
"CANDY CCTOS 482"|"white"|"Candy CCTOS 482 hûtõszekrény"|"CANDY"|"Refrigerator"|"A+"|NA|24|48|84|50|NA|NA|77|10|42990|"https://edigital.hu/egyajtos-huto/candy-cctos-482-hutoszekreny-p402289"|402289|NA|NA|NA|"edigital"|199
"CANDY CCTOS 504"|"white"|"CANDY CCTOS 504 WH hûtõszekrény"|"CANDY"|"Refrigerator"|"A++"|131|24|50|85|56|31|NA|84|13|NA|NA|NA|54899|"https://www.mediamarkt.hu/hu/product/_candy-cctos-504-wh-h%C5%B1t%C5%91szekr%C3%A9ny-1163852.html"|1163852|"mediamarkt"|200
"CANDY CCTOS 504"|"white"|"CANDY CCTOS 504 WH hûtõszekrény A++"|"CANDY"|"Refrigerator"|"A++"|131|24|50|85|56|31|1|84|13|49990|"https://edigital.hu/egyajtos-huto/candy-cctos-504-wh-hutoszekreny-p372603"|372603|NA|NA|NA|"edigital"|200
"CANDY CCTUS 544WH"|"white"|"CANDY CCTUS 544WH fagyasztószekrény"|"CANDY"|"Freezer"|"A++"|138|24|55|85|59|35|NA|NA|82|NA|NA|NA|57999|"https://www.mediamarkt.hu/hu/product/_candy-cctus-544wh-fagyaszt%C3%B3szekr%C3%A9ny-1196643.html"|1196643|"mediamarkt"|201
"CANDY CCVB 30"|"black"|"CANDY CCVB 30 beépíthetõ borhûtõ"|"CANDY"|"Wine refrigerator"|"B"|169|24|30|82|57|29|NA|NA|NA|NA|NA|NA|109999|"https://www.mediamarkt.hu/hu/product/_candy-ccvb-30-be%C3%A9p%C3%ADthet%C5%91-borh%C5%B1t%C5%91-1245558.html"|1245558|"mediamarkt"|202
"CANDY CMDDS 5144WH"|"white"|"CANDY CMDDS 5144WH felülfagyasztós kombinált hûtõszekrény"|"CANDY"|"Refrigerator"|"A++"|170|24|55|143|NA|39|2|164|40|NA|NA|NA|72996|"https://www.mediamarkt.hu/hu/product/_candy-cmdds-5144wh-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1264176.html"|1264176|"mediamarkt"|203
"CANDY CMDDS 5144WH"|"white"|"Candy CMDDS 5144WH felülfagyasztós hûtõszekrény, A++"|"CANDY"|"Refrigerator"|"A++"|170|24|55|143|55|43|2|168|42|69990|"https://edigital.hu/felulfagyasztos-huto/candy-cmdds-5144wh-felulfagyasztos-hutoszekreny-p584170"|584170|NA|NA|NA|"edigital"|203
"CANDY CMGN 6184B"|"black"|"CANDY CMGN 6184B kombinált hûtõszekrény"|"CANDY"|NA|NA|NA|24|60|186|64|NA|2|NA|NA|NA|NA|NA|147993|"https://www.mediamarkt.hu/hu/product/_candy-cmgn-6184b-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1278054.html"|1278054|"mediamarkt"|204
"CANDY CMGN 6184B"|"white"|"Candy CMGN 6184B alulfagyasztós hûtõszekrény, A++ fekete üvegajtó"|"CANDY"|"Refrigerator"|"A++"|242|24|60|186|64|76|2|223|94|169900|"https://edigital.hu/alulfagyasztos-huto/candy-cmgn-6184b-alulfagyasztos-hutoszekreny-fekete-uvegajto-p607954"|607954|NA|NA|NA|"edigital"|217
"CANDY CMGN 6184S"|"grey"|"CANDY CMGN 6184S kombinált hûtõszekrény"|"CANDY"|NA|NA|NA|24|60|186|64|NA|2|NA|NA|NA|NA|NA|149993|"https://www.mediamarkt.hu/hu/product/_candy-cmgn-6184s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1278055.html"|1278055|"mediamarkt"|205
"CANDY CMGN 6184W"|"white"|"CANDY CMGN 6184W kombinált hûtõszekrény"|"CANDY"|NA|"A++"|240|24|60|186|64|NA|2|223|94|NA|NA|NA|147993|"https://www.mediamarkt.hu/hu/product/_candy-cmgn-6184w-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1278053.html"|1278053|"mediamarkt"|206
"CANDY CMGN 6184W"|"white"|"Candy CMGN 6184W alulfagyasztós hûtõszekrény, A++ fehér üvegajtóval"|"CANDY"|"Refrigerator"|"A++"|242|24|60|186|64|76|2|223|94|119990|"https://edigital.hu/alulfagyasztos-huto/candy-cmgn-6184w-alulfagyasztos-hutoszekreny-feher-uvegajtoval-p607952"|607952|NA|NA|NA|"edigital"|206
"CANDY CMNR 6184W"|"white"|"CANDY CMNR 6184W WiFi kombinált hûtõszekrény"|"CANDY"|"Refrigerator"|"A++"|240|24|60|186|64|62|2|223|94|NA|NA|NA|149993|"https://www.mediamarkt.hu/hu/product/_candy-cmnr-6184w-wifi-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1296953.html"|1296953|"mediamarkt"|207
"CANDY CTLP130"|"white"|"CANDY CTLP130 hûtõszekrény"|"CANDY"|NA|"A+"|112|24|49|84|50|22|1|91|NA|NA|NA|NA|44899|"https://www.mediamarkt.hu/hu/product/_candy-ctlp130-h%C5%B1t%C5%91szekr%C3%A9ny-1292923.html"|1292923|"mediamarkt"|208
"CANDY CTLP130"|"white"|"Candy CTLP130 egyajtós hûtõszekrény"|"CANDY"|"Refrigerator"|"A+"|112|24|48|85|50|22|1|112|NA|39990|"https://edigital.hu/egyajtos-huto/candy-ctlp130-egyajtos-hutoszekreny-p651802"|651802|NA|NA|NA|"edigital"|208
"CANDY CVRDS 6174RH"|"red"|"CANDY CVRDS 6174RH felülfagyasztós kombinált hûtõszekrény"|"CANDY"|NA|"A++"|NA|24|60|175|64|62|2|241|63|NA|NA|NA|204999|"https://www.mediamarkt.hu/hu/product/_candy-cvrds-6174rh-fel%C3%BClfagyaszt%C3%B3s-kombin%C3%A1lt-h%C5%B1t%C5%91szekr%C3%A9ny-1292926.html"|1292926|"mediamarkt"|209
"CASO WineDuett 21"|"grey"|"CASO WineDuett 21 (630) borhûtõ"|"CASO"|"Wine refrigerator"|"B"|168|24|35|81|51|20|NA|60|NA|NA|NA|NA|109896|"https://www.mediamarkt.hu/hu/product/_caso-wineduett-21-630-borh%C5%B1t%C5%91-1175468.html"|1175468|"mediamarkt"|210
"Candy CCTOS 544"|"white"|"Candy CCTOS 544 WH hûtõszekrény A++"|"CANDY"|"Refrigerator"|"A++"|135|24|55|85|58|27|1|95|14|54990|"https://edigital.hu/egyajtos-huto/candy-cctos-544-wh-hutoszekreny-p449238"|449238|NA|NA|NA|"edigital"|211
"Candy CCVB 60D"|"black"|"Candy CCVB 60D beépíthetõ borhûtõ"|"CANDY"|"Wine refrigerator"|"D"|NA|24|60|81|57|27|2|116|NA|219990|"https://edigital.hu/borhuto/candy-ccvb-60d-beepitheto-borhuto-p599091"|599091|NA|NA|NA|"edigital"|212
"Candy CFDN 180"|"grey"|"Candy CFDN 180 EU side by side hûtõszekrény, inox"|"CANDY"|"Refrigerator"|"A+"|332|24|79|182|68|115|4|278|144|239990|"https://edigital.hu/side-side-huto/candy-cfdn-180-eu-side-side-hutoszekreny-inox-p642454"|642454|NA|NA|NA|"edigital"|213
"Candy CHSB 6186"|"grey"|"Candy CHSB 6186 X alulfagyasztós hûtõszekrény, inox, A+++"|"CANDY"|"Refrigerator"|"A+++"|147|24|60|185|60|58|2|223|84|129990|"https://edigital.hu/alulfagyasztos-huto/candy-chsb-6186-x-alulfagyasztos-hutoszekreny-inox-p682801"|682801|NA|NA|NA|"edigital"|214
