"common_item_id"|"common_item_name"|"item_name_short"|"colour"|"producer"|"type"|"energy_class"|"energy_consumption"|"guarantee_month"|"width_cm"|"height_cm"|"depth_cm"|"weight_kg"|"n_doors"|"cooling_capacity_l"|"freezing_capacity_l"|"total_capacity"|"website"|"item_price"|"link"
55|"Amica BK316.3AA NA"|"Amica BK316.3AA"|NA|"AMICA"|"Refrigerator"|"A++"|204|24|54|178|54|40|2|190|70|260|"edigital"|119090|"https://edigital.hu/beepitheto-huto/amica-bk3163aa-beepitheto-hutoszekreny-feher-p464383"
56|"Amica BK316.3FA white"|"Amica BK316.3FA"|"white"|"AMICA"|"Refrigerator"|"A+"|270|NA|54|178|54|63|2|190|56|246|"edigital"|103990|"https://edigital.hu/alulfagyasztos-huto/amica-bk3163fa-alulfagyasztos-hutoszekreny-ujracsomagolt-p635186"
57|"Amica BK316A white"|"Amica BK316A"|"white"|"AMICA"|"Refrigerator"|"A+"|204|24|54|178|54|40|2|190|70|260|"edigital"|129990|"https://edigital.hu/beepitheto-huto/amica-bk316a-beepitheto-hutoszekreny-p485595"
58|"Amica BM132.3 NA"|"Amica BM132.3"|NA|"AMICA"|"Refrigerator"|"A+"|186|24|54|88|54|35|1|98|16|114|"edigital"|69990|"https://edigital.hu/beepitheto-huto/amica-bm1323-beepitheto-hutoszekreny-p587636"
59|"Amica EKGC 16166 NA"|"Amica EKGC 16166"|NA|"AMICA"|"Refrigerator"|"A+"|239|24|54|144|54|55|2|182|40|222|"edigital"|79990|"https://edigital.hu/beepitheto-huto/amica-ekgc-16166-beepitheto-hutoszekreny-p508181"
60|"Amica FC3616.3DFX grey"|"Amica FC3616.3DFX"|"grey"|"AMICA"|"Refrigerator"|"A+"|NA|24|60|186|66|NA|1|360|0|360|"edigital"|179990|"https://edigital.hu/egyajtos-huto/amica-fc36163dfx-egyajtos-hutoszekreny-no-frost-p563470"
61|"Amica FK2965.3RAA red"|"Amica FK2965.3RAA"|"red"|"AMICA"|"Refrigerator"|"A++"|188|24|55|181|62|NA|2|244|63|307|"edigital"|151990|"https://edigital.hu/alulfagyasztos-huto/amica-fk29653raa-kombinalt-hutoszekreny-p617838"
62|"Amica FM104.4 white"|"Amica FM104.4"|"white"|"AMICA"|"Refrigerator"|"A+"|160|24|48|84|51|NA|1|NA|NA|0|"edigital"|56990|"https://edigital.hu/egyajtos-huto/amica-fm1044-egyajtos-hutoszekreny-p603899"
63|"Amica FZ133.3AA NA"|"Amica FZ133.3AA"|NA|"AMICA"|"Freezer"|"A++"|136|24|55|85|57|NA|1|NA|78|78|"edigital"|62490|"https://edigital.hu/fagyasztoszekreny/amica-fz1333aa-fagyasztoszekreny-p617840"
64|"Amica KGC 15630 red"|"Amica KGC 15630"|"red"|"AMICA"|"Refrigerator"|"A++"|172|24|55|144|62|44|2|164|44|208|"edigital"|118990|"https://edigital.hu/felulfagyasztos-huto/amica-kgc-15630-r-felulfagyasztos-hutoszekreny-piros-p532938"
